ORDERDATE,SALES,QUANTITYORDERED,COUNTRY,PRODUCTLINE,PRICEEACH,ADDRESSLINE1,CITY,STATE,CUSTOMERNAME,POSTALCODE,PHONE,TOTAL_REVENUE
1/12/2004 0:00,3009.09,23,Japan,Motorcycles,100,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,Osaka Souveniers Co.,530-0003,+81 06 6342 5555,2300
2/20/2004 0:00,5422.39,47,Australia,Motorcycles,100,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,4700
4/3/2004 0:00,2852.08,22,USA,Motorcycles,100,11328 Douglas Av.,Philadelphia,PA,Motor Mint Distributors Inc.,71270,2155559857,2200
5/18/2004 0:00,5756.52,44,USA,Motorcycles,100,7476 Moss Rd.,Newark,NJ,Tekni Collectables Inc.,94019,2015559350,4400
6/28/2004 0:00,4472,40,USA,Motorcycles,100,25593 South Bay Ln.,Bridgewater,CT,Gift Depot Inc.,97562,2035552570,4000
8/27/2004 0:00,6484.59,47,USA,Motorcycles,100,39323 Spinnaker Dr.,Cambridge,MA,Marta's Replicas Co.,51247,6175558555,4700
10/15/2004 0:00,4043.96,34,USA,Motorcycles,100,3758 North Pendale Street,White Plains,NY,Mini Classics,24067,9145554562,3400
11/2/2004 0:00,5566.5,45,USA,Motorcycles,100,7586 Pompton St.,Allentown,PA,Diecast Classics Inc.,70267,2155551555,4500
11/15/2004 0:00,3176,20,USA,Motorcycles,100,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,2000
11/23/2004 0:00,2756.8,40,Japan,Motorcycles,68.92,2-2-8 Roppongi,Minato-ku,Tokyo,"Tokyo Collectables, Ltd",106-0032,+81 3 3584 0555,2756.8
12/17/2004 0:00,1329.9,26,Australia,Motorcycles,51.15,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Souveniers And Things Co.,2067,+61 2 9495 8555,1329.8999999999999
2/2/2005 0:00,5288.01,39,Australia,Motorcycles,100,31 Duncan St. West End,South Brisbane,Queensland,"Australian Gift Network, Co",4101,61-7-3844-6555,3900
3/3/2005 0:00,2225.5,50,USA,Motorcycles,44.51,1785 First Street,New Bedford,MA,FunGiftIdeas.com,50553,5085552555,2225.5
2/24/2003 0:00,6065.55,27,USA,Motorcycles,100,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,2700
4/29/2003 0:00,9264.86,46,Australia,Motorcycles,100,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,4600
8/25/2003 0:00,5176.38,33,USA,Motorcycles,100,78934 Hillside Dr.,Pasadena,CA,Toys4GrownUps.com,90003,6265557265,3300
10/28/2003 0:00,4183,20,USA,Motorcycles,100,9408 Furth Circle,Burlingame,CA,Technics Stores Inc.,94217,6505556809,2000
1/12/2004 0:00,6123.4,34,Japan,Motorcycles,100,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Osaka,Osaka Souveniers Co.,530-0003,+81 06 6342 5555,3400
2/20/2004 0:00,9774.03,49,Australia,Motorcycles,100,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,4900
4/5/2004 0:00,7023.9,39,USA,Motorcycles,100,2678 Kingston Rd.,NYC,NY,Vitachrome Inc.,10022,2125551500,3900
5/18/2004 0:00,7078.23,43,USA,Motorcycles,100,7476 Moss Rd.,Newark,NJ,Tekni Collectables Inc.,94019,2015559350,4300
6/28/2004 0:00,8336.94,41,USA,Motorcycles,100,25593 South Bay Ln.,Bridgewater,CT,Gift Depot Inc.,97562,2035552570,4100
8/27/2004 0:00,5438.07,27,USA,Motorcycles,100,39323 Spinnaker Dr.,Cambridge,MA,Marta's Replicas Co.,51247,6175558555,2700
10/15/2004 0:00,4570.4,20,USA,Motorcycles,100,3758 North Pendale Street,White Plains,NY,Mini Classics,24067,9145554562,2000
11/2/2004 0:00,7667.14,37,USA,Motorcycles,100,7586 Pompton St.,Allentown,PA,Diecast Classics Inc.,70267,2155551555,3700
11/15/2004 0:00,5868.2,26,USA,Motorcycles,100,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,2600
11/23/2004 0:00,2990.13,39,Japan,Motorcycles,76.67,2-2-8 Roppongi,Minato-ku,Tokyo,"Tokyo Collectables, Ltd",106-0032,+81 3 3584 0555,2990.13
1/5/2005 0:00,3664.1,22,USA,Motorcycles,100,9408 Furth Circle,Burlingame,CA,Technics Stores Inc.,94217,6505556809,2200
2/2/2005 0:00,3834.38,22,Australia,Motorcycles,100,31 Duncan St. West End,South Brisbane,Queensland,"Australian Gift Network, Co",4101,61-7-3844-6555,2200
3/3/2005 0:00,1822.17,21,USA,Motorcycles,86.77,1785 First Street,New Bedford,MA,FunGiftIdeas.com,50553,5085552555,1822.1699999999998
8/10/2003 0:00,5597.76,49,USA,Classic Cars,100,4575 Hillside Dr.,New Bedford,MA,Mini Creations Ltd.,50553,5085559555,4900
2/19/2004 0:00,5997.6,49,USA,Classic Cars,100,361 Furth Circle,San Diego,CA,Collectable Mini Designs Co.,91217,7605558146,4900
5/7/2004 0:00,2910.4,20,USA,Classic Cars,100,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,2000
6/17/2004 0:00,3378.24,27,Canada,Classic Cars,100,43 rue St. Laurent,Montreal,Quebec,Quebec Home Shopping Network,H1J 1C3,(514) 555-8054,2700
8/20/2004 0:00,2992,25,Canada,Classic Cars,100,23 Tsawassen Blvd.,Tsawassen,BC,"Royal Canadian Collectables, Ltd.",T2F 8M4,(604) 555-4555,2500
9/10/2004 0:00,3427.2,24,USA,Classic Cars,100,8616 Spinnaker Dr.,Boston,MA,Gifts4AllAges.com,51003,6175559555,2400
10/14/2004 0:00,2692.8,22,USA,Classic Cars,100,782 First Street,Philadelphia,PA,"Classic Gift Ideas, Inc",71270,2155554695,2200
11/1/2004 0:00,4128.96,33,UK,Classic Cars,100,Garden House Crowther Way,Cowes,Isle of Wight,giftsbymail.co.uk,PO31 7PJ,(198) 555-8888,3300
11/21/2004 0:00,1201.25,25,USA,Classic Cars,48.05,5905 Pompton St.,NYC,NY,Classic Legends Inc.,10022,2125558493,1201.25
4/1/2005 0:00,9661.44,64,USA,Classic Cars,100,3086 Ingle Ln.,San Jose,CA,The Sharp Gifts Warehouse,94217,4085553659,6400
5/6/2005 0:00,2764.88,19,USA,Classic Cars,100,8616 Spinnaker Dr.,Boston,MA,Gifts4AllAges.com,51003,6175559555,1900
7/24/2003 0:00,3188.12,26,USA,Classic Cars,100,9408 Furth Circle,Burlingame,CA,Technics Stores Inc.,94217,6505556809,2600
11/13/2003 0:00,3433.36,28,USA,Classic Cars,100,782 First Street,Philadelphia,PA,"Classic Gift Ideas, Inc",71270,2155554695,2800
12/9/2003 0:00,4076.19,31,USA,Classic Cars,100,6251 Ingle Ln.,Boston,MA,Diecast Collectables,51003,6175552555,3100
3/11/2004 0:00,6426.5,50,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,5000
5/4/2004 0:00,4591.72,28,USA,Classic Cars,100,567 North Pendale Street,New Haven,CT,Super Scale Inc.,97823,2035559545,2800
7/19/2004 0:00,4302.08,32,Australia,Classic Cars,100,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Souveniers And Things Co.,2067,+61 2 9495 8555,3200
8/19/2004 0:00,7020.64,44,USA,Classic Cars,100,7586 Pompton St.,Allentown,PA,Diecast Classics Inc.,70267,2155551555,4400
10/13/2004 0:00,6680.78,38,USA,Classic Cars,100,39323 Spinnaker Dr.,Cambridge,MA,Marta's Replicas Co.,51247,6175558555,3800
10/22/2004 0:00,6678,40,Canada,Classic Cars,100,1900 Oak St.,Vancouver,BC,Canadian Gift Exchange Network,V3F 2K1,(604) 555-3392,4000
11/4/2004 0:00,2851.54,46,USA,Classic Cars,61.99,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,2851.54
11/29/2004 0:00,4428,27,Australia,Classic Cars,100,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,2700
12/10/2004 0:00,5780.92,43,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,4300
1/20/2005 0:00,2297.05,35,Australia,Classic Cars,65.63,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,2297.0499999999997
3/9/2005 0:00,1735.3,37,Australia,Classic Cars,46.9,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,1735.3
5/1/2005 0:00,4427.73,27,Canada,Classic Cars,100,43 rue St. Laurent,Montreal,Quebec,Quebec Home Shopping Network,H1J 1C3,(514) 555-8054,2700
7/2/2003 0:00,8008.56,42,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,4200
9/5/2003 0:00,9245.76,48,USA,Classic Cars,100,7825 Douglas Av.,Brickhaven,MA,Collectables For Less Inc.,58339,6175558555,4800
11/4/2003 0:00,5019.9,30,Australia,Classic Cars,100,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,3000
8/2/2004 0:00,9631,50,USA,Classic Cars,100,7635 Spinnaker Dr.,Brickhaven,MA,Online Mini Collectables,58339,6175557555,5000
11/15/2004 0:00,2930.27,41,USA,Classic Cars,71.47,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,2930.27
6/3/2003 0:00,11279.2,46,USA,Classic Cars,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,4600
8/8/2003 0:00,8023.29,33,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3300
11/14/2003 0:00,3883.74,21,USA,Classic Cars,100,4575 Hillside Dr.,New Bedford,MA,Mini Creations Ltd.,50553,5085559555,2100
11/26/2003 0:00,8887.7,47,USA,Classic Cars,100,567 North Pendale Street,New Haven,CT,Super Scale Inc.,97823,2035559545,4700
7/20/2004 0:00,5818.4,35,USA,Classic Cars,100,7586 Pompton St.,Allentown,PA,Diecast Classics Inc.,70267,2155551555,3500
8/20/2004 0:00,7071.27,41,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,4100
1/23/2005 0:00,3560.64,32,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3200
2/17/2005 0:00,3823.64,34,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3400
5/5/2005 0:00,8677.8,36,USA,Classic Cars,100,25593 South Bay Ln.,Bridgewater,CT,Gift Depot Inc.,97562,2035552570,3600
3/26/2003 0:00,3415.44,21,USA,Trucks and Buses,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,2100
7/24/2003 0:00,4829.8,38,USA,Trucks and Buses,100,9408 Furth Circle,Burlingame,CA,Technics Stores Inc.,94217,6505556809,3800
11/6/2003 0:00,6817.22,43,Australia,Trucks and Buses,100,31 Duncan St. West End,South Brisbane,Queensland,"Australian Gift Network, Co",4101,61-7-3844-6555,4300
11/13/2003 0:00,6163.94,41,USA,Trucks and Buses,100,782 First Street,Philadelphia,PA,"Classic Gift Ideas, Inc",71270,2155554695,4100
12/5/2003 0:00,4056.36,28,Canada,Trucks and Buses,100,1900 Oak St.,Vancouver,BC,Canadian Gift Exchange Network,V3F 2K1,(604) 555-3392,2800
3/11/2004 0:00,3451,25,USA,Trucks and Buses,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,2500
5/4/2004 0:00,5920.4,38,USA,Trucks and Buses,100,567 North Pendale Street,New Haven,CT,Super Scale Inc.,97823,2035559545,3800
6/15/2004 0:00,6668.24,41,Japan,Trucks and Buses,100,2-2-8 Roppongi,Minato-ku,Tokyo,"Tokyo Collectables, Ltd",106-0032,+81 3 3584 0555,4100
7/19/2004 0:00,4094.72,28,Australia,Trucks and Buses,100,"Monitor Money Building, 815 Pacific Hwy",Chatswood,NSW,Souveniers And Things Co.,2067,+61 2 9495 8555,2800
8/19/2004 0:00,2938.5,25,USA,Trucks and Buses,100,7586 Pompton St.,Allentown,PA,Diecast Classics Inc.,70267,2155551555,2500
10/22/2004 0:00,2669.1,21,Canada,Trucks and Buses,100,1900 Oak St.,Vancouver,BC,Canadian Gift Exchange Network,V3F 2K1,(604) 555-3392,2100
11/4/2004 0:00,4784.13,27,USA,Trucks and Buses,100,2304 Long Airport Avenue,Nashua,NH,Online Diecast Creations Co.,62005,6035558647,2700
11/29/2004 0:00,3586.43,29,Australia,Trucks and Buses,100,636 St Kilda Road,Melbourne,Victoria,"Australian Collectors, Co.",3004,03 9520 4555,2900
12/10/2004 0:00,5960.36,49,USA,Trucks and Buses,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,4900
1/20/2005 0:00,8470.14,49,Australia,Trucks and Buses,100,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,4900
3/9/2005 0:00,2464.8,39,Australia,Trucks and Buses,63.2,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,2464.8
5/1/2005 0:00,6232,40,Canada,Trucks and Buses,100,43 rue St. Laurent,Montreal,Quebec,Quebec Home Shopping Network,H1J 1C3,(514) 555-8054,4000
2/24/2003 0:00,3036.6,21,USA,Motorcycles,100,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,2100
8/25/2003 0:00,8339.8,49,USA,Motorcycles,100,78934 Hillside Dr.,Pasadena,CA,Toys4GrownUps.com,90003,6265557265,4900
11/4/2003 0:00,4639.25,35,Australia,Motorcycles,100,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,3500
11/18/2003 0:00,4512.48,28,USA,Motorcycles,100,78934 Hillside Dr.,Pasadena,CA,Toys4GrownUps.com,90003,6265557265,2800
4/5/2004 0:00,4193.28,32,USA,Motorcycles,100,2678 Kingston Rd.,NYC,NY,Vitachrome Inc.,10022,2125551500,3200
5/18/2004 0:00,7552.28,46,USA,Motorcycles,100,7476 Moss Rd.,Newark,NJ,Tekni Collectables Inc.,94019,2015559350,4600
6/28/2004 0:00,6434.4,48,USA,Motorcycles,100,25593 South Bay Ln.,Bridgewater,CT,Gift Depot Inc.,97562,2035552570,4800
8/2/2004 0:00,5181.5,43,USA,Motorcycles,100,7635 Spinnaker Dr.,Brickhaven,MA,Online Mini Collectables,58339,6175557555,4300
8/27/2004 0:00,6863.92,49,USA,Motorcycles,100,39323 Spinnaker Dr.,Cambridge,MA,Marta's Replicas Co.,51247,6175558555,4900
11/3/2004 0:00,4111.8,30,USA,Motorcycles,100,5290 North Pendale Street,NYC,NY,Microscale Inc.,10022,2125551957,3000
11/15/2004 0:00,3542.64,24,USA,Motorcycles,100,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,2400
1/5/2005 0:00,3877.06,22,USA,Motorcycles,100,9408 Furth Circle,Burlingame,CA,Technics Stores Inc.,94217,6505556809,2200
3/3/2005 0:00,5951.44,44,USA,Motorcycles,100,1785 First Street,New Bedford,MA,FunGiftIdeas.com,50553,5085552555,4400
6/3/2003 0:00,7366.44,46,USA,Classic Cars,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,4600
8/8/2003 0:00,4985.64,33,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3300
11/14/2003 0:00,4038.21,33,USA,Classic Cars,100,4575 Hillside Dr.,New Bedford,MA,Mini Creations Ltd.,50553,5085559555,3300
11/26/2003 0:00,3807.12,24,USA,Classic Cars,100,567 North Pendale Street,New Haven,CT,Super Scale Inc.,97823,2035559545,2400
7/20/2004 0:00,4283.01,27,USA,Classic Cars,100,7586 Pompton St.,Allentown,PA,Diecast Classics Inc.,70267,2155551555,2700
8/20/2004 0:00,4364.82,27,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,2700
11/5/2004 0:00,1466.91,27,USA,Classic Cars,54.33,2678 Kingston Rd.,NYC,NY,Vitachrome Inc.,10022,2125551500,1466.9099999999999
1/26/2005 0:00,5862,40,Japan,Classic Cars,100,2-2-8 Roppongi,Minato-ku,Tokyo,"Tokyo Collectables, Ltd",106-0032,+81 3 3584 0555,4000
2/17/2005 0:00,4071.85,37,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3700
5/5/2005 0:00,8236.75,47,USA,Classic Cars,100,25593 South Bay Ln.,Bridgewater,CT,Gift Depot Inc.,97562,2035552570,4700
7/2/2003 0:00,6031.68,48,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,4800
9/5/2003 0:00,3494.94,31,USA,Classic Cars,100,7825 Douglas Av.,Brickhaven,MA,Collectables For Less Inc.,58339,6175558555,3100
8/2/2004 0:00,5464.69,47,USA,Classic Cars,100,7635 Spinnaker Dr.,Brickhaven,MA,Online Mini Collectables,58339,6175557555,4700
11/15/2004 0:00,3846.98,46,USA,Classic Cars,83.63,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,3846.9799999999996
2/8/2005 0:00,3987.2,35,USA,Classic Cars,100,4097 Douglas Av.,Glendale,CA,Boards & Toys Co.,92561,3105552373,3500
6/3/2003 0:00,8138.76,42,USA,Classic Cars,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,4200
8/8/2003 0:00,9470.94,46,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,4600
11/14/2003 0:00,7886.2,43,USA,Classic Cars,100,4575 Hillside Dr.,New Bedford,MA,Mini Creations Ltd.,50553,5085559555,4300
11/26/2003 0:00,7232.16,38,USA,Classic Cars,100,567 North Pendale Street,New Haven,CT,Super Scale Inc.,97823,2035559545,3800
7/20/2004 0:00,7962.24,39,USA,Classic Cars,100,7586 Pompton St.,Allentown,PA,Diecast Classics Inc.,70267,2155551555,3900
8/20/2004 0:00,3778.8,24,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,2400
12/1/2004 0:00,4408.56,26,USA,Classic Cars,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,2600
1/26/2005 0:00,5941.5,34,Japan,Classic Cars,100,2-2-8 Roppongi,Minato-ku,Tokyo,"Tokyo Collectables, Ltd",106-0032,+81 3 3584 0555,3400
2/17/2005 0:00,3241.9,34,USA,Classic Cars,95.35,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3241.8999999999996
3/23/2005 0:00,6109.29,33,USA,Classic Cars,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3300
5/5/2005 0:00,3387.78,22,USA,Classic Cars,100,25593 South Bay Ln.,Bridgewater,CT,Gift Depot Inc.,97562,2035552570,2200
7/2/2003 0:00,1800.24,24,USA,Classic Cars,75.01,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,1800.2400000000002
9/5/2003 0:00,1340.64,21,USA,Classic Cars,63.84,7825 Douglas Av.,Brickhaven,MA,Collectables For Less Inc.,58339,6175558555,1340.64
11/4/2003 0:00,2298.24,36,Australia,Classic Cars,63.84,201 Miller Street,North Sydney,NSW,"Anna's Decorations, Ltd",2060,02 9936 8555,2298.2400000000002
8/2/2004 0:00,3184.02,38,USA,Classic Cars,83.79,7635 Spinnaker Dr.,Brickhaven,MA,Online Mini Collectables,58339,6175557555,3184.0200000000004
11/15/2004 0:00,3607.56,33,USA,Classic Cars,100,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,3300
4/4/2003 0:00,5723.78,46,USA,Trucks and Buses,100,5905 Pompton St.,NYC,NY,Classic Legends Inc.,10022,2125558493,4600
6/3/2003 0:00,2559.6,24,USA,Trucks and Buses,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,2400
11/25/2003 0:00,6445.46,49,USA,Trucks and Buses,100,3758 North Pendale Street,White Plains,NY,Mini Classics,24067,9145554562,4900
12/9/2003 0:00,3384.36,34,USA,Trucks and Buses,99.54,6251 Ingle Ln.,Boston,MA,Diecast Collectables,51003,6175552555,3384.36
2/10/2004 0:00,4891.68,48,USA,Trucks and Buses,100,2793 Furth Circle,Brisbane,CA,Signal Collectibles Ltd.,94217,4155554312,4800
3/11/2004 0:00,4521.96,36,USA,Trucks and Buses,100,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3600
7/20/2004 0:00,3012.27,31,USA,Trucks and Buses,97.17,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,3012.27
8/19/2004 0:00,5247.18,41,USA,Trucks and Buses,100,7586 Pompton St.,Allentown,PA,Diecast Classics Inc.,70267,2155551555,4100
9/8/2004 0:00,2214.87,21,USA,Trucks and Buses,100,897 Long Airport Avenue,NYC,NY,Land of Toys Inc.,10022,2125557818,2100
10/13/2004 0:00,4773.18,38,USA,Trucks and Buses,100,39323 Spinnaker Dr.,Cambridge,MA,Marta's Replicas Co.,51247,6175558555,3800
11/5/2004 0:00,1517.88,26,USA,Trucks and Buses,58.38,2678 Kingston Rd.,NYC,NY,Vitachrome Inc.,10022,2125551500,1517.88
12/1/2004 0:00,5232.96,48,USA,Trucks and Buses,100,4092 Furth Circle,NYC,NY,Muscle Machine Inc,10022,2125557413,4800
1/23/2005 0:00,1749.79,49,USA,Trucks and Buses,35.71,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,1749.79
2/17/2005 0:00,2130.56,32,USA,Trucks and Buses,66.58,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,2130.56
7/2/2003 0:00,2838.81,29,USA,Classic Cars,97.89,5677 Strong St.,San Rafael,CA,Mini Gifts Distributors Ltd.,97562,4155551450,2838.81
